Setor; Segmento; Categorias; Ano; Total; Janeiro; Fevereiro; Março; Abril; Maio; Junho; Julho; Agosto; Setembro; Outubro; Novembro; Dezembro
Total; ; ; 2007; 764381; 77890; 69293; 64285; 52957; 48087; 54996; 81949; 59654; 64668; 56737; 63530; 70335
Corcovado; Ferroviário; Pagantes; 2007; 478770; 50414; 43645; 34994; 25046; 28751; 35041; 56626; 40380; 39885; 34881; 41438; 47669
Setor Floresta; Floresta da Tijuca; Visitantes; 2007; 285611; 27476; 25648; 29291; 27911; 19336; 19955; 25323; 19274; 24783; 21856; 22092; 22666
Total; ; ; 2008; 1286822; 86470; 78462; 89521; 93912; 114055; 100755; 155285; 109122; 90875; 104805; 119861; 143699
Corcovado; Ferroviário; Guias; 2008; 11684; ; ; ; 605; 1312; 1043; 1603; 1449; 1150; 1411; 1435; 1676
Corcovado; Ferroviário; Pagantes; 2008; 509896; 58710; 51279; 54285; 32223; 34653; 37847; 53621; 35714; 32753; 34097; 42971; 41743
Corcovado; Rodoviário; Visitantes; 2008; 471642; ; ; 7767; 39278; 52342; 41478; 73972; 48552; 37904; 44604; 50147; 75598
Setor Floresta; Floresta da Tijuca; Visitantes; 2008; 293600; 27760; 27183; 27469; 21806; 25748; 20387; 26089; 23407; 19068; 24693; 25308; 24682
Total; ; ; 2009; 1814639; 229442; 173553; 149161; 141286; 125418; 116371; 160808; 135861; 117172; 134704; 160059; 170804
Corcovado; Ferroviário; Gratuidades; 2009; 3117; 209; 102; 99; 147; 235; 705; 117; 66; 201; 406; 120; 710
Corcovado; Ferroviário; Guias; 2009; 19416; 1835; 1922; 1990; 1536; 1238; 1035; 1451; 1544; 1428; 1663; 1906; 1868
Corcovado; Ferroviário; Pagantes; 2009; 548590; 64549; 52019; 52651; 41261; 35438; 36958; 47682; 41687; 31885; 37882; 51942; 54636
Corcovado; Rodoviário; Visitantes; 2009; 927608; 126584; 86853; 65226; 70663; 61471; 57740; 90055; 68785; 60324; 71655; 77039; 91213
Setor Floresta; Floresta da Tijuca; Visitantes; 2009; 315908; 36265; 32657; 29195; 27679; 27036; 19933; 21503; 23779; 23334; 23098; 29052; 22377
Total; ; ; 2010; 1696210; 294316; 197546; 145666; 50199; 52736; 70847; 156914; 129103; 126778; 162963; 139022; 170120
Corcovado; Ferroviário; Gratuidades; 2010; 5527; 494; 317; 150; 117; 189; 70; 244; 461; 610; 1071; 1110; 694
Corcovado; Ferroviário; Guias; 2010; 19258; 2139; 1721; 1855; 569; 1376; 1636; 1750; 1446; 1491; 1664; 1783; 1828
